uniref,ec
UniRef90_X5NU12,1.6.5.5
UniRef90_Q5L7N5,4.1.1.49
UniRef90_K5ZF52,1.16.3.2
UniRef90_R6WZJ2,4.2.1.11
UniRef90_Q59199,1.2.1.12
UniRef90_R5DFT6,1.11.1.6
UniRef90_K5ZL03,1.15.1.1
UniRef90_N1ZB99,2.8.3.8
UniRef90_D4VKI7,2.7.7.49
UniRef90_K5ZP27,2.6.1.52
UniRef90_K5ZRS8,1.16.3.2
UniRef90_K6A9H5,1.1.1.49
UniRef90_K5Y257,1.1.1.262
UniRef90_K6AM59,1.1.1.42
UniRef90_K6AYR2,5.2.1.8
UniRef90_R6WWE4,3.5.3.1
UniRef90_A6L915,1.8.1.9
UniRef90_K6AL59,5.4.2.11
UniRef90_N1ZTH6,1.97.1.4
UniRef90_K5ZL12,3.4.11.4
UniRef90_Q5L8Z8,1.1.1.37
UniRef90_K5ZYL8,5.1.3.3
UniRef90_A6LFF0,5.3.1.1
UniRef90_A6LI32,4.3.1.3
UniRef90_K5Z470,1.7.2.2
UniRef90_K5ZTS6,3.5.2.7
UniRef90_A6L8C6,6.1.1.6
UniRef90_K5YFI6,1.1.1.44
UniRef90_A6L8T3,2.1.2.10
UniRef90_A6LBU6,6.1.1.12
UniRef90_A6LD69,2.7.4.3
UniRef90_K5ZG42,1.8.1.4
UniRef90_R5DRE6,6.3.4.3
UniRef90_A6LA39,5.3.1.5
UniRef90_A6LA83,3.6.3.14
UniRef90_A6LFB1,5.4.2.12
UniRef90_K5YG13,5.2.1.8
UniRef90_K5ZHQ3,1.6.5.8
UniRef90_K5ZHQ6,1.6.5.8
UniRef90_K6B022,4.2.1.2
UniRef90_R5DEW5,2.5.1.47
UniRef90_A6L8C4,5.3.1.9
UniRef90_A6L8N5,3.6.3.14
UniRef90_A6LA57,4.3.3.7
UniRef90_A6LA92,6.1.1.20
UniRef90_A6LA97,2.1.3.2
UniRef90_A6LBG7,2.1.2.1
UniRef90_A6LEU6,2.7.8.13
UniRef90_A6LHV2,3.5.99.6
UniRef90_K5ZBG1,4.2.1.1
UniRef90_K6A045,2.3.1.129
UniRef90_R5DCM6,6.3.2.9
UniRef90_R5Y1E1,1.1.1.86
UniRef90_R6WTJ5,4.3.2.1
UniRef90_A6LD04,6.3.5.2
UniRef90_A6LEG5,2.7.7.6
UniRef90_A6LFT6,6.1.1.16
UniRef90_A6LG93,2.2.1.2
UniRef90_A6LGR4,5.4.99.18
UniRef90_K5Y825,2.7.4.6
UniRef90_K5YXY8,2.7.2.1
UniRef90_K5Z605,1.6.5.8
UniRef90_K5ZGJ4,6.1.1.22
UniRef90_K5ZIF4,6.2.1.5
UniRef90_K5ZNL7,6.3.2.4
UniRef90_K5ZTK9,3.1.3.11
UniRef90_K5ZTW4,3.6.4.12
UniRef90_K6A6J3,4.1.99.12
UniRef90_R5DBG0,4.3.2.2
UniRef90_R6IIJ1,3.3.1.1
UniRef90_R6WRE4,6.3.4.4
UniRef90_R6WRT3,3.4.11.18
UniRef90_R6WRV3,2.7.7.7
UniRef90_R6Y9M8,3.4.21.92
UniRef90_R7JA67,2.3.1.179
UniRef90_R7JAB6,6.1.1.14
UniRef90_A6L9R4,4.2.1.47
UniRef90_A6LAW1,4.1.99.17
UniRef90_A6LDN9,2.2.1.6
UniRef90_A6LEK4,1.1.1.205
UniRef90_A6LEL6,2.4.99.17
UniRef90_A6LEP7,2.3.1.180
UniRef90_A6LGA8,2.5.1.72
UniRef90_A6LI95,6.3.1.1
UniRef90_K5XZW3,1.16.3.1
UniRef90_K5Y8J3,5.3.1.16
UniRef90_K5YUE3,5.3.1.28
UniRef90_K5YVN0,6.1.1.1
UniRef90_K5ZLC5,5.3.1.14
UniRef90_K5ZRV2,1.7.99.1
UniRef90_K5ZYS2,6.3.5.5
UniRef90_K6A227,3.4.21.89
UniRef90_K6A434,1.8.1.4
UniRef90_K6A6W9,6.3.4.20
UniRef90_K6A9C4,5.3.1.17
UniRef90_K6AHA6,4.2.1.9
UniRef90_R5DAU4,2.7.2.4
UniRef90_R5DJ85,5.2.1.8
UniRef90_R6WPT3,6.2.1.30
UniRef90_R6WQF7,6.3.4.2
UniRef90_R6WQT3,1.6.5.8
UniRef90_R6WQT9,1.6.5.8
UniRef90_R6X0M9,2.3.1.39
UniRef90_R6X666,6.2.1.30
UniRef90_R7J9W2,1.4.3.16
UniRef90_A6L849,1.2.1.38
UniRef90_A6L8I7,4.1.1.11
UniRef90_A6LA68,2.1.2.11
UniRef90_A6LC18,3.6.5.n1
UniRef90_A6LC32,2.3.1.46
UniRef90_A6LEL4,2.5.1.6
UniRef90_A6LH07,4.2.1.20
UniRef90_C7X7J6,2.4.2.17
UniRef90_K5YC22,2.5.1.3
UniRef90_K5YG08,2.7.7.60
UniRef90_K5YLU6,1.17.1.2
UniRef90_K5YLX2,3.4.13.22
UniRef90_K5YML5,1.1.1.85
UniRef90_K5YMP7,2.7.4.1
UniRef90_K5YRY8,1.5.1.2
UniRef90_K5YSJ5,2.7.2.11
UniRef90_K5YVH5,6.3.4.13
UniRef90_K5YVI7,3.1.3.71
UniRef90_K5YVN3,3.1.26.5
UniRef90_K5YXD3,5.2.1.8
UniRef90_K5YYR5,2.1.1.199
UniRef90_K5Z0C0,4.2.3.4
UniRef90_K5Z717,1.4.1.1
UniRef90_K5Z8B0,2.2.1.9
UniRef90_K5ZA43,3.1.11.6
UniRef90_K5ZGH3,5.1.3.3
UniRef90_K5ZI95,2.4.2.21
UniRef90_K5ZKY1,2.8.4.4
UniRef90_K5ZL69,1.1.1.169
UniRef90_K5ZLI5,2.7.1.30
UniRef90_K5ZLU4,2.4.2.1
UniRef90_K5ZN18,4.1.2.25
UniRef90_K5ZPX5,3.1.26.3
UniRef90_K5ZRR2,4.1.2.4
UniRef90_K5ZTG9,3.2.2.27
UniRef90_K5ZUT1,6.3.2.8
UniRef90_K5ZUU8,4.2.1.33
UniRef90_K5ZYU3,2.7.1.35
UniRef90_K5ZZ56,1.8.4.11
UniRef90_K6A1L2,4.2.1.20
UniRef90_K6A2D2,1.1.1.58
UniRef90_K6A5S9,1.1.1.23
UniRef90_K6A6F9,3.5.4.33
UniRef90_K6A6G0,2.7.1.40
UniRef90_K6A6J9,5.3.1.12
UniRef90_K6AGF5,5.1.1.3
UniRef90_K6ALW4,3.5.4.31
UniRef90_K6AN12,1.2.1.41
UniRef90_K6AP66,5.2.1.8
UniRef90_K6APX5,1.17.1.8
