UniRef90_D4VKI7,ec:2.7.7.49
UniRef90_K5ZTW4,ec:3.6.4.12
UniRef90_A6LBU6,ec:6.1.1.12
UniRef90_A6LFT6,ec:6.1.1.16
UniRef90_K5ZNC5,ec:2.4.1.281
UniRef90_K5ZF52,ec:1.16.3.2
UniRef90_C3QQ70,ec:5.99.1.2
UniRef90_K5ZK29,ec:4.2.1.113
UniRef90_K6ALW4,ec:3.5.4.31
UniRef90_A6L8C6,ec:6.1.1.6
UniRef90_K5YVN0,ec:6.1.1.1
UniRef90_R6IFD4,ec:3.5.1.25
UniRef90_R7JAB6,ec:6.1.1.14
UniRef90_K5ZTE2,ec:2.4.99.17
UniRef90_R6WWE4,ec:3.5.3.1
UniRef90_K5Y229,ec:3.5.1.25
UniRef90_K5ZLK7,ec:6.3.4.19
UniRef90_K5ZA43,ec:3.1.11.6
UniRef90_R7JA67,ec:2.3.1.179
UniRef90_K5ZHQ3,ec:1.6.5.8
UniRef90_A6LAP3,ec:6.1.1.15
UniRef90_K5YYR5,ec:2.1.1.199
UniRef90_R6IIS7,ec:1.2.7.8
UniRef90_K6A9B9,ec:2.8.4.3
UniRef90_K5YU76,ec:3.4.21.89
UniRef90_K6A7D9,ec:3.6.4.12
UniRef90_K5Z6Q1,ec:2.5.1.74
UniRef90_K5ZL12,ec:3.4.11.4
UniRef90_K6AYR2,ec:5.2.1.8
UniRef90_R6Y439,ec:2.3.1.234
UniRef90_A6LEL6,ec:2.4.99.17
UniRef90_A6LHY5,ec:6.1.1.19
UniRef90_N1ZB99,ec:2.8.3.8
UniRef90_K5ZE89,ec:1.3.99.22
UniRef90_D6D1R4,ec:3.2.1.17
UniRef90_R6WKC0,ec:1.3.1.9
UniRef90_R6WQT9,ec:1.6.5.8
UniRef90_A6LA57,ec:4.3.3.7
UniRef90_R6WPT3,ec:6.2.1.30
UniRef90_N1ZMM3,ec:5.99.1.3
UniRef90_K5YW01,ec:5.4.99.12
UniRef90_K5ZGJ4,ec:6.1.1.22
UniRef90_K5ZTX4,ec:2.1.1.182
UniRef90_K6A705,ec:2.7.7.2
UniRef90_R7JIK5,ec:6.1.1.2
UniRef90_A6LGA8,ec:2.5.1.72
UniRef90_K6AUM0,ec:3.1.26.11
UniRef90_R6WRT3,ec:3.4.11.18
UniRef90_R6WRB5,ec:2.1.1.33
UniRef90_A6LC18,ec:3.6.5.n1
UniRef90_K5ZL69,ec:1.1.1.169
UniRef90_K6A227,ec:3.4.21.89
UniRef90_A6LEN1,ec:3.6.3.27
UniRef90_K5Z0T9,ec:5.4.99.25
UniRef90_N1ZFU5,ec:1.17.1.2
UniRef90_R6X666,ec:6.2.1.30
UniRef90_A6LA92,ec:6.1.1.20
UniRef90_N1Z425,ec:5.99.1.2
UniRef90_N1Z5A5,ec:6.1.1.20
UniRef90_K5ZHQ6,ec:1.6.5.8
UniRef90_D6D3N6,ec:6.1.1.22
UniRef90_K5YTK3,ec:5.2.1.8
UniRef90_N1ZDZ7,ec:2.8.4.4
UniRef90_N1ZMS2,ec:2.7.3.9
UniRef90_K6AH91,ec:4.2.3.3
UniRef90_N1ZQM6,ec:3.1.13.1
UniRef90_R6VKN6,ec:1.1.1.369
UniRef90_K5ZRS8,ec:1.16.3.2
UniRef90_N1ZMS4,ec:6.1.1.3
UniRef90_R6X1Y5,ec:4.2.99.18
UniRef90_K5YLX2,ec:3.4.13.22
UniRef90_K5ZI77,ec:4.2.1.126
UniRef90_K6A3Z7,ec:3.1.1.96
UniRef90_N1ZJU9,ec:2.7.1.90
UniRef90_K5ZPX5,ec:3.1.26.3
UniRef90_R6Y9M8,ec:3.4.21.92
UniRef90_A6LBD2,ec:2.1.1.228
UniRef90_N1ZJA9,ec:4.2.1.44
UniRef90_K6APX5,ec:1.17.1.8
UniRef90_N1Z1P0,ec:6.1.1.20
UniRef90_A6LG11,ec:3.6.4.12
