taxa_x,uniref90,length,taxa_y,RPK
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZUF0,309.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z513,954.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_Q8A6A5,1659.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R9HR76,1683.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,6.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_unknown,1824.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1441.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZER9,939.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,6.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_D4VKI7,1656.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZV55,192.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z767,1524.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,6.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YJ49,807.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_S0GEK8,1320.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YUJ5,225.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,4.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZUB7,1521.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,3.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A5K7,243.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,43.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6Y2Z7,1320.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZD86,621.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZIF8,1320.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YC49,225.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,4.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LEJ1,618.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZWY9,444.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_G8UHS2,237.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A9F2,801.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,5.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6AYS9,237.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YXU8,231.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
