GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|422320815|ref|NZ_GL636045.1|:c24483-23272|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_R4XMS4|UniRef50_B2SD76,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Achromobacter;s_Achromobacter xylosoxidans,1212,1,0.0.0.0,0.8250825082508251
gi|120608714|ref|NC_008752.1|:2670661-2672523|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_A1TPY4|UniRef50_Q5F8E8,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Polaromonas;s_Polaromonas naphthalenivorans,1863,1,0.0.0.0,0.5367686527106817
gi|120608714|ref|NC_008752.1|:2670661-2672523|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_A1TPY4|UniRef50_Q5F8E8,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Burkholderia;s_Burkholderia pseudomallei,1863,1,0.0.0.0,0.5367686527106817
gi|120608714|ref|NC_008752.1|:2670661-2672523|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_A1TPY4|UniRef50_Q5F8E8,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Curvibacter;s_Curvibacter putative symbiont of Hydra magnipapillata,1863,1,0.0.0.0,0.5367686527106817
gi|241762816|ref|NZ_ACQT01000002.1|:c26415-21682|47920|g__Acidovorax.s__Acidovorax_delafieldii|UniRef90_unknown|UniRef50_Q1BS02,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,4734,1,0.0.0.0,0.21123785382340515
gi|241765890|ref|NZ_ACQT01000133.1|:c7853-7071|47920|g__Acidovorax.s__Acidovorax_delafieldii|UniRef90_C5T830|UniRef50_W0BV85,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax avenae,783,1,0.0.0.0,1.277139208173691
gi|222109225|ref|NC_011992.1|:3053353-3054156|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_A1WBN9|UniRef50_Q46PM0,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,804,1,0.0.0.0,1.243781094527363
gi|222109225|ref|NC_011992.1|:c1318660-1317821|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_A1W8Y8|UniRef50_S2XAV0,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,840,1,0.0.0.0,1.1904761904761905
gi|222109225|ref|NC_011992.1|:c568677-568189|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_A1W3F8|UniRef50_A1VN37,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,489,1,0.0.0.0,2.044989775051125
gi|222109225|ref|NC_011992.1|:c847339-845936|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_A1W4F3|UniRef50_A9BP26,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,1404,1,0.0.0.0,0.7122507122507123
gi|222109225|ref|NC_011992.1|:c2564569-2563613|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_A1WA46|UniRef50_A1WIR2,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,957,1,0.0.0.0,1.044932079414838
gi|222109225|ref|NC_011992.1|:3371949-3372935|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_A1WCL5|UniRef50_C5CMM7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,987,1,0.0.0.0,1.0131712259371835
gi|351000292|ref|NZ_AFBG01000021.1|:c122889-122146|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_K0HYP1|UniRef50_F8G4L7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,744,1,0.0.0.0,1.3440860215053763
gi|351000292|ref|NZ_AFBG01000021.1|:c129944-129069|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_H0BTX7|UniRef50_A4SMY4,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Curvibacter;s_Curvibacter putative symbiont of Hydra magnipapillata,876,1,0.0.0.0,1.1415525114155252
gi|351000292|ref|NZ_AFBG01000021.1|:474510-475646|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_unknown|UniRef50_E2QIC0,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. RAC01,1137,1,2.5.1.54,0.8795074758135444
gi|395003667|ref|NZ_AKJX01000009.1|:6616-7302|1144317|g__Acidovorax.s__Acidovorax_sp_CF316|UniRef90_J0KMK4|UniRef50_I9A7U1,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Variovorax;s_Variovorax sp. HW608,687,1,0.0.0.0,1.455604075691412
gi|395005211|ref|NZ_AKJX01000090.1|:c27180-26377|1144317|g__Acidovorax.s__Acidovorax_sp_CF316|UniRef90_J0UBK3|UniRef50_J0UBK3,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Cupriavidus;s_Cupriavidus taiwanensis,804,3,0.0.0.0,3.731343283582089
gi|395004716|ref|NZ_AKJX01000050.1|:1-1986|1144317|g__Acidovorax.s__Acidovorax_sp_CF316|UniRef90_unknown|UniRef50_A0A059KPK5,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Variovorax;s_Variovorax paradoxus,1986,26,0.0.0.0,13.091641490433032
gi|395004716|ref|NZ_AKJX01000050.1|:1-1986|1144317|g__Acidovorax.s__Acidovorax_sp_CF316|UniRef90_unknown|UniRef50_A0A059KPK5,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Variovorax,1986,1,0.0.0.0,0.5035246727089627
gi|121592436|ref|NC_008782.1|:3416971-3417744|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1WAT2|UniRef50_D7DKW7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,774,1,0.0.0.0,1.2919896640826873
gi|121592436|ref|NC_008782.1|:3416971-3417744|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1WAT2|UniRef50_D7DKW7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,774,1,0.0.0.0,1.2919896640826873
gi|121592436|ref|NC_008782.1|:1135067-1136626|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1W4Z0|UniRef50_Q0K7G7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,1560,1,0.0.0.0,0.641025641025641
