GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|262409781|ref|NZ_GG705192.1|:689-976|469588|g__Bacteroides.s__Bacteroides_sp_2_1_22|UniRef90_A5ZLI2|UniRef50_A5ZLI2,unclassified,288,19034,0.0.0.0,66090.27777777778
gi|522837947|ref|NZ_KE159513.1|:c283-1|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_S0GJR7|UniRef50_S0GJR7,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,283,8264,0.0.0.0,29201.41342756184
gi|550260673|ref|NZ_KI440779.1|:146983-147156|1099853|g__Coprobacter.s__Coprobacter_fastidiosus|UniRef90_U5CR87|UniRef50_U5CR87,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides,174,4293,0.0.0.0,24672.41379310345
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root;k_Bacteria,462,10153,0.0.0.0,21976.190476190473
gi|423721761|ref|NZ_JH976524.1|:c198-1|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_K6B5C7|UniRef50_K6B5C7,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,198,3741,0.0.0.0,18893.939393939392
gi|365126304|ref|NZ_JH414792.1|:70-315|665949|g__Tannerella.s__Tannerella_sp_6_1_58FAA_CT1|UniRef90_G9S8W7|UniRef50_I7I840,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,246,3686,0.0.0.0,14983.739837398374
gi|288930195|ref|NZ_GG740103.1|:c760-290|652721|g__Prevotella.s__Prevotella_sp_oral_taxon_317|UniRef90_D3IN37|UniRef50_G5SN48,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Tannerella;s_Tannerella forsythia,471,7031,0.0.0.0,14927.813163481955
gi|405322164|ref|NZ_JH815205.1|:720943-721653|487174|g__Barnesiella.s__Barnesiella_intestinihominis|UniRef90_K0WTB3|UniRef50_K0WTB3,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,711,9105,0.0.0.0,12805.907172995781
gi|211596896|ref|NZ_DS264350.1|:1-160|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KR91|UniRef50_A5KR91,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,160,1697,0.0.0.0,10606.25
gi|424856175|ref|NZ_JH377177.1|:c275-1|37919|g__Rhodococcus.s__Rhodococcus_opacus|UniRef90_UPI00029CCAA7|UniRef50_H1A173,unclassified,275,1851,0.0.0.0,6730.90909090909
gi|224580298|ref|NZ_DS996445.1|:61866-62144|387661|g__Parabacteroides.s__Parabacteroides_johnsonii|UniRef90_A7AAS6|UniRef50_A7AAS6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,279,1877,0.0.0.0,6727.598566308243
