UniRef90_D4VKI7,ec:2.7.7.49
UniRef90_K5ZF52,ec:1.16.3.2
UniRef90_K5ZGJ4,ec:6.1.1.22
UniRef90_R6WRT3,ec:3.4.11.18
UniRef90_K6AYR2,ec:5.2.1.8
UniRef90_R6WWE4,ec:3.5.3.1
UniRef90_A6L8C6,ec:6.1.1.6
UniRef90_R7JAB6,ec:6.1.1.14
UniRef90_K5ZHQ3,ec:1.6.5.8
UniRef90_R6Y9M8,ec:3.4.21.92
UniRef90_R6WKC0,ec:1.3.1.9
UniRef90_K5Z605,ec:1.6.5.8
UniRef90_R7JA67,ec:2.3.1.179
UniRef90_V2QGX6,ec:3.4.21.53
UniRef90_K5XZW3,ec:1.16.3.1
UniRef90_K5ZHQ6,ec:1.6.5.8
UniRef90_R6X666,ec:6.2.1.30
UniRef90_K5YVN0,ec:6.1.1.1
UniRef90_R5DJ85,ec:5.2.1.8
UniRef90_A6LHY5,ec:6.1.1.19
UniRef90_K5ZKY1,ec:2.8.4.4
UniRef90_K5ZZ56,ec:1.8.4.11
UniRef90_R6IIS7,ec:1.2.7.8
UniRef90_R6WQT3,ec:1.6.5.8
UniRef90_V2QAG2,ec:3.1.13.1
UniRef90_V2QKG7,ec:1.7.2.2
UniRef90_A6LBU6,ec:6.1.1.12
UniRef90_K6A434,ec:1.8.1.4
UniRef90_R7JIK5,ec:6.1.1.2
UniRef90_V2QGW5,ec:1.1.1.169
UniRef90_A6LA92,ec:6.1.1.20
UniRef90_A6LEL6,ec:2.4.99.17
UniRef90_K5YYR5,ec:2.1.1.199
UniRef90_K5ZL12,ec:3.4.11.4
UniRef90_K5ZZJ2,ec:2.1.1.163
UniRef90_K6A9B9,ec:2.8.4.3
UniRef90_K6AL10,ec:2.4.2.14
UniRef90_R6WQT9,ec:1.6.5.8
UniRef90_V2Q963,ec:2.1.1.228
UniRef90_V2QAC6,ec:2.7.3.9
UniRef90_V2QF56,ec:4.3.1.1
UniRef90_V2RKV1,ec:3.1.1.61
UniRef90_A6LC18,ec:3.6.5.n1
UniRef90_A6LC32,ec:2.3.1.46
UniRef90_A6LGA8,ec:2.5.1.72
UniRef90_A6LGR4,ec:5.4.99.18
UniRef90_K5Y257,ec:1.1.1.262
UniRef90_K5YS20,ec:4.2.1.8
UniRef90_K5ZBG1,ec:4.2.1.1
UniRef90_K5ZRS8,ec:1.16.3.2
UniRef90_K5ZTW4,ec:3.6.4.12
UniRef90_R6WRB5,ec:2.1.1.33
UniRef90_V2PZ36,ec:6.1.1.20
UniRef90_V2Q0K8,ec:5.2.1.8
UniRef90_V2QKJ4,ec:3.5.1.88
UniRef90_X5NU12,ec:1.6.5.5
UniRef90_A6LA57,ec:4.3.3.7
UniRef90_A6LIH3,ec:3.1.22.4
UniRef90_K5Y229,ec:3.5.1.25
UniRef90_K5Y5U3,ec:5.2.1.8
UniRef90_K5YG13,ec:5.2.1.8
UniRef90_K5YLU6,ec:1.17.1.2
UniRef90_K5YLX2,ec:3.4.13.22
UniRef90_K5ZG42,ec:1.8.1.4
UniRef90_K5ZK29,ec:4.2.1.113
UniRef90_K5ZL69,ec:1.1.1.169
UniRef90_K5ZN18,ec:4.1.2.25
UniRef90_K5ZPX5,ec:3.1.26.3
UniRef90_K5ZTJ0,ec:2.1.1.297
UniRef90_K6AH91,ec:4.2.3.3
UniRef90_R5DNU5,ec:2.1.1.198
UniRef90_R6IFD4,ec:3.5.1.25
UniRef90_R6WPT3,ec:6.2.1.30
UniRef90_R6X635,ec:1.6.5.8
UniRef90_V2Q0F2,ec:2.1.1.33
UniRef90_V2Q1N2,ec:3.4.25.2
UniRef90_V2QA98,ec:6.1.1.21
UniRef90_V2QCY9,ec:3.5.1.88
UniRef90_V2QEC4,ec:3.6.3.31
UniRef90_V2QED2,ec:6.1.1.11
UniRef90_V2QEI4,ec:3.4.21.88
UniRef90_V2QFX7,ec:1.17.1.8
UniRef90_V2RHK2,ec:2.7.13.3
