UniRef90_R7JA67,ec:2.3.1.179
UniRef90_K5ZF52,ec:1.16.3.2
UniRef90_A6LBU6,ec:6.1.1.12
UniRef90_X5NU12,ec:1.6.5.5
UniRef90_K5Y257,ec:1.1.1.262
UniRef90_K5ZHQ3,ec:1.6.5.8
UniRef90_R6WQT3,ec:1.6.5.8
UniRef90_R6WRT3,ec:3.4.11.18
UniRef90_A6LA57,ec:4.3.3.7
UniRef90_A6LC18,ec:3.6.5.n1
UniRef90_K5YVN0,ec:6.1.1.1
UniRef90_R6WWE4,ec:3.5.3.1
UniRef90_K5ZL69,ec:1.1.1.169
UniRef90_K6AYR2,ec:5.2.1.8
UniRef90_D4VKI7,ec:2.7.7.49
UniRef90_K5ZL03,ec:1.15.1.1
UniRef90_A6L8C6,ec:6.1.1.6
UniRef90_P18956,ec:3.4.19.13
UniRef90_Q3Z2Q4,ec:6.1.1.19
UniRef90_R6WQT9,ec:1.6.5.8
UniRef90_R6Y439,ec:2.3.1.234
UniRef90_R7JAB6,ec:6.1.1.14
UniRef90_A6LA92,ec:6.1.1.20
UniRef90_A6LGA8,ec:2.5.1.72
UniRef90_A7ZK21,ec:6.1.1.22
UniRef90_A8AKV5,ec:2.1.1.35
UniRef90_B7MHZ0,ec:3.1.11.6
UniRef90_K5YTK3,ec:5.2.1.8
UniRef90_P0A936,ec:4.2.2.n1
UniRef90_P15043,ec:3.6.4.12
UniRef90_P39160,ec:1.1.1.57
UniRef90_P75820,ec:3.5.1.28
UniRef90_Q0T9Q5,ec:1.8.1.8
UniRef90_A6LAP3,ec:6.1.1.15
UniRef90_A7ZHH3,ec:2.1.1.199
UniRef90_A7ZHV1,ec:3.1.26.4
UniRef90_A7ZSH1,ec:2.7.7.87
UniRef90_K5YXD3,ec:5.2.1.8
UniRef90_K5YYR5,ec:2.1.1.199
UniRef90_K5Z605,ec:1.6.5.8
UniRef90_K5ZRS8,ec:1.16.3.2
UniRef90_K5ZTJ0,ec:2.1.1.297
UniRef90_P12282,ec:2.7.7.80
UniRef90_P21369,ec:3.5.1.19
UniRef90_P23837,ec:2.7.13.3
UniRef90_P68768,ec:3.4.11.10
UniRef90_P76082,ec:4.2.1.17
UniRef90_Q46891,ec:5.3.1.22
UniRef90_Q8XAS7,ec:2.7.8.33
UniRef90_Q8XBY4,ec:2.7.13.3
UniRef90_Q8XDM1,ec:3.6.3.17
UniRef90_R7J9W2,ec:1.4.3.16
UniRef90_A6LEL6,ec:2.4.99.17
