GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|359796355|ref|NZ_AGUF01000026.1|:22619-23782|1147684|g__Achromobacter.s__Achromobacter_arsenitoxydans|UniRef90_R4XPD9|UniRef50_Q5P917,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Methylobacteriaceae;g_Methylobacterium,1164,1,0.0.0.0,0.859106529209622
gi|421486271|ref|NZ_ALJE01000042.1|:c37472-36561|72556|g__Achromobacter.s__Achromobacter_piechaudii|UniRef90_E3HUI8|UniRef50_M4UU15,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Achromobacter;s_Achromobacter xylosoxidans,912,2,0.0.0.0,2.1929824561403506
gi|306477407|ref|NZ_GG770409.1|:4243799-4244827|72556|g__Achromobacter.s__Achromobacter_piechaudii|UniRef90_R4Y106|UniRef50_I3TI07,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Achromobacter;s_Achromobacter xylosoxidans,1029,1,0.0.0.0,0.9718172983479106
gi|311103224|ref|NC_014640.1|:c1018132-1012370|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria,5763,1,0.0.0.0,0.17352073572791948
gi|483972877|ref|NZ_AMRP01000076.1|:1295-3109|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_unknown|UniRef50_A1WQN2,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales,1815,1,6.1.1.18,0.5509641873278237
gi|483975963|ref|NZ_AMRP01000803.1|:400-1720|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_A1TIX4|UniRef50_A9BPP1,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae,1321,2,0.0.0.0,1.514004542013626
gi|483975963|ref|NZ_AMRP01000803.1|:400-1720|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_A1TIX4|UniRef50_A9BPP1,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_;g_Mitsuaria;s_Mitsuaria sp. 7,1321,1,0.0.0.0,0.757002271006813
gi|241764845|ref|NZ_ACQT01000061.1|:4671-5687|47920|g__Acidovorax.s__Acidovorax_delafieldii|UniRef90_A1TRT6|UniRef50_Q18GT4,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae,1017,1,1.1.1.86,0.9832841691248771
gi|222109225|ref|NC_011992.1|:c297151-296636|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_A1W2R8|UniRef50_A9BPS9,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,516,2,0.0.0.0,3.875968992248062
gi|222109225|ref|NC_011992.1|:1293192-1295489|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_unknown|UniRef50_C5CKS8,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,2298,1,0.0.0.0,0.4351610095735422
gi|222109225|ref|NC_011992.1|:c2604394-2602292|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_A1WAF5|UniRef50_K0HYA8,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,2103,2,0.0.0.0,0.951022349025202
