GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|359795754|ref|NZ_AGUF01000013.1|:c203013-202072|1147684|g__Achromobacter.s__Achromobacter_arsenitoxydans|UniRef90_E3HLZ9|UniRef50_W0INH2,root;k_Bacteria;p_Actinobacteria;c_Thermoleophilia;o_Solirubrobacterales;f_Conexibacteraceae;g_Conexibacter;s_Conexibacter woesei,942,1,0.0.0.0,1.0615711252653928
gi|326314823|ref|NC_015138.1|:c3807075-3804724|80867|g__Acidovorax.s__Acidovorax_avenae|UniRef90_unknown|UniRef50_F0Q9Y8,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax avenae,2352,6,0.0.0.0,2.5510204081632653
gi|483977801|ref|NZ_AMRP01001245.1|:1-976|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_F0Q2X8|UniRef50_T1XAV6,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,976,1,0.0.0.0,1.0245901639344261
gi|241764322|ref|NZ_ACQT01000037.1|:c4680-3823|47920|g__Acidovorax.s__Acidovorax_delafieldii|UniRef90_B9MEQ6|UniRef50_Q8Y0B7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales,858,1,2.5.1.55,1.1655011655011656
gi|241765977|ref|NZ_ACQT01000141.1|:c6149-5316|47920|g__Acidovorax.s__Acidovorax_delafieldii|UniRef90_K0I4R5|UniRef50_B2SC15,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Bordetella;s_Bordetella hinzii,834,1,2.3.1.117,1.1990407673860912
gi|222109225|ref|NC_011992.1|:2687924-2688982|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_B2UB37|UniRef50_B2UB37,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,1059,3,0.0.0.0,2.8328611898017
gi|351000291|ref|NZ_AFBG01000020.1|:c366754-363617|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Variovorax;s_Variovorax paradoxus,3138,1,0.0.0.0,0.3186743148502231
gi|121592436|ref|NC_008782.1|:c671979-671488|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1W3R1|UniRef50_A9AQ66,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,492,2,0.0.0.0,4.065040650406504
gi|121592436|ref|NC_008782.1|:c1109229-1107589|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1W4W6|UniRef50_A0KKZ8,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,1641,4,0.0.0.0,2.437538086532602
gi|121592436|ref|NC_008782.1|:308597-309460|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_B9MB97|UniRef50_A9HY34,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,864,1,0.0.0.0,1.1574074074074074
gi|121592436|ref|NC_008782.1|:c1445580-1444402|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1W5R8|UniRef50_A4JTI8,root;k_Bacteria;p_Proteobacteria,1179,3,0.0.0.0,2.544529262086514
gi|407936729|ref|NC_018708.1|:c1028417-1027566|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0HXY2|UniRef50_Q8FW08,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,852,2,0.0.0.0,2.347417840375587
gi|407936729|ref|NC_018708.1|:c4933296-4932832|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0HYL0|UniRef50_P22635,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_;s_Comamonadaceae bacterium B1,465,7,0.0.0.0,15.053763440860214
gi|407936729|ref|NC_018708.1|:c10443-9121|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0HXF3|UniRef50_K0HZK2,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,1323,32,0.0.0.0,24.18745275888133
gi|407936729|ref|NC_018708.1|:357774-359714|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. RAC01,1941,2,0.0.0.0,1.0303967027305512
gi|505485002|ref|NZ_BANP01000032.1|:16144-16851|1268622|g__Acidovorax.s__Acidovorax_sp_MR_S7|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. RAC01,708,1,0.0.0.0,1.4124293785310735
gi|365091561|ref|NZ_AGTS01000075.1|:c6325-5390|512030|g__Acidovorax.s__Acidovorax_sp_NO_1|UniRef90_K0HVQ7|UniRef50_Q2NSV5,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,936,1,0.0.0.0,1.0683760683760684
gi|427422671|ref|NZ_AMST01000009.1|:41315-42256|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_D8JLC4|UniRef50_Q6FAL2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter pittii,942,1,0.0.0.0,1.0615711252653928
gi|377684864|ref|NZ_CM001194.1|:c1531494-1529929|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_N9AKZ4|UniRef50_P19480,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1566,1,0.0.0.0,0.6385696040868455
gi|293607876|ref|NZ_GG753600.1|:517662-518603|106654|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis|UniRef90_D8JLC4|UniRef50_Q6FAL2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter pittii,942,1,0.0.0.0,1.0615711252653928
gi|402295784|ref|NZ_AIEE01000169.1|:c2152-710|981224|g__Acinetobacter.s__Acinetobacter_sp_NCTC_10304|UniRef90_P13650|UniRef50_P13650,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter baumannii,1443,1,1.1.5.2,0.693000693000693
gi|483437360|ref|NZ_AMJN01000053.1|:c73752-72814|1221304|g__Acinetobacter.s__Acinetobacter_sp_TG2027|UniRef90_D8JLC4|UniRef50_Q6FAL2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter pittii,939,1,0.0.0.0,1.0649627263045793
gi|484005036|ref|NZ_KB894413.1|:c174998-173886|155975|g__Actinokineospora.s__Actinokineospora_enzanensis|UniRef90_UPI0003744C1D|UniRef50_Q6A9H7,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Acidothermales;f_Acidothermaceae;g_Acidothermus;s_Acidothermus cellulolyticus,1113,1,2.7.2.11,0.8984725965858041
gi|223667765|ref|NZ_DS264585.1|:1771-2040|1660|g__Actinomyces.s__Actinomyces_odontolyticus|UniRef90_A7B8Q3|UniRef50_Q57L44,root;k_Bacteria,270,3,0.0.0.0,11.11111111111111
gi|223667765|ref|NZ_DS264585.1|:1771-2040|1660|g__Actinomyces.s__Actinomyces_odontolyticus|UniRef90_A7B8Q3|UniRef50_Q57L44,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micrococcales;f_Dermacoccaceae;g_Dermacoccus,270,1,0.0.0.0,3.7037037037037033
gi|223667765|ref|NZ_DS264585.1|:1771-2040|1660|g__Actinomyces.s__Actinomyces_odontolyticus|UniRef90_A7B8Q3|UniRef50_Q57L44,root,270,1,0.0.0.0,3.7037037037037033
gi|223667765|ref|NZ_DS264585.1|:1771-2040|1660|g__Actinomyces.s__Actinomyces_odontolyticus|UniRef90_A7B8Q3|UniRef50_Q57L44,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,270,1,0.0.0.0,3.7037037037037033
gi|324997076|ref|NZ_BABV01000761.1|:830-2505|544580|g__Actinomyces.s__Actinomyces_oris|UniRef90_F2UX39|UniRef50_Q5HPK8,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces;s_Actinomyces oris,1676,2,1.11.1.6,1.1933174224343677
gi|421495358|ref|NZ_ALJZ02000019.1|:c47250-45289|651|g__Aeromonas.s__Aeromonas_media|UniRef90_V9ZUP4|UniRef50_K0CGH2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas media,1962,1,0.0.0.0,0.509683995922528
gi|421495488|ref|NZ_ALJZ02000023.1|:1979-5131|651|g__Aeromonas.s__Aeromonas_media|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Ralstonia;s_Ralstonia solanacearum,3153,4,2.7.13.3,1.2686330478908976
gi|484037209|ref|NZ_CAJQ01000064.1|:28153-30084|151414|g__Afipia.s__Afipia_birgiae|UniRef90_F7QR82|UniRef50_O82392,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_;g_Methyloceanibacter;s_Methyloceanibacter caenitepidi,1932,2,4.1.99.17,1.0351966873706004
gi|448879100|ref|NZ_KB375284.1|:8537-9262|56946|g__Afipia.s__Afipia_broomeae|UniRef90_G7D600|UniRef50_A4YKK0,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium japonicum,726,1,0.0.0.0,1.3774104683195594
gi|416062152|ref|NZ_AEJN01000162.1|:546-980|714|g__Aggregatibacter.s__Aggregatibacter_actinomycetemcomitans|UniRef90_T2BL02|UniRef50_G7SQ06,root;k_Bacteria,435,1,0.0.0.0,2.2988505747126435
gi|485047808|ref|NZ_ALEE01000487.1|:13872-16463|1200791|g__Alicycliphilus.s__Alicycliphilus_sp_CRZ1|UniRef90_unknown|UniRef50_Q9I2V5,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Variovorax;s_Variovorax sp. PAMC 28711,2592,1,0.0.0.0,0.38580246913580246
gi|224021130|ref|NZ_DS499580.1|:c157332-156718|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_D4VTI2|UniRef50_R6A853,root,615,4,0.0.0.0,6.504065040650406
gi|224021130|ref|NZ_DS499580.1|:c156620-155514|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_Q64WI5|UniRef50_Q64WI5,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,1107,1,0.0.0.0,0.903342366757001
gi|479185170|ref|NC_021030.1|:3590285-3590629|328814|g__Alistipes.s__Alistipes_shahii|UniRef90_D4IQI9|UniRef50_U2IPG3,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,345,1,0.0.0.0,2.8985507246376816
gi|484007028|ref|NZ_KB894571.1|:c251643-250267|340680|g__Amorphus.s__Amorphus_coralli|UniRef90_UPI00037994B3|UniRef50_B8ENG4,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Xanthobacteraceae;g_Starkeya;s_Starkeya novella,1377,25,3.4.11.1,18.15541031227306
gi|484007028|ref|NZ_KB894571.1|:c251643-250267|340680|g__Amorphus.s__Amorphus_coralli|UniRef90_UPI00037994B3|UniRef50_B8ENG4,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Erythrobacteraceae;g_Erythrobacter;s_Erythrobacter sp. HL-111,1377,1,3.4.11.1,0.7262164124909223
gi|484007028|ref|NZ_KB894571.1|:373425-374390|340680|g__Amorphus.s__Amorphus_coralli|UniRef90_UPI0003658B1E|UniRef50_E3HDP7,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingopyxis;s_Sphingopyxis macrogoltabida,966,1,1.8.1.9,1.0351966873706004
gi|224021138|ref|NZ_DS499725.1|:c3194-2895|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK1|UniRef50_B0MGK1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,300,1,0.0.0.0,3.3333333333333335
gi|224021139|ref|NZ_DS499726.1|:5536-5781|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MC26|UniRef50_A6BKX9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,246,1,0.0.0.0,4.065040650406504
