GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|211596896|ref|NZ_DS264350.1|:1-160|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KR91|UniRef50_A5KR91,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,160,1536,0.0.0.0,9600.0
gi|365126304|ref|NZ_JH414792.1|:70-315|665949|g__Tannerella.s__Tannerella_sp_6_1_58FAA_CT1|UniRef90_G9S8W7|UniRef50_I7I840,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Tannerella,246,1749,0.0.0.0,7109.756097560976
gi|424856175|ref|NZ_JH377177.1|:c275-1|37919|g__Rhodococcus.s__Rhodococcus_opacus|UniRef90_UPI00029CCAA7|UniRef50_H1A173,unclassified,275,1438,0.0.0.0,5229.090909090909
gi|211596838|ref|NZ_DS264292.1|:35-379|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYV6|UniRef50_G7ZHM8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,345,1446,0.0.0.0,4191.304347826087
gi|223667651|ref|NZ_DS264471.1|:3555-3719|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP8|UniRef50_A7AJP8,unclassified,165,463,0.0.0.0,2806.060606060606
gi|422411249|ref|NZ_CM001048.1|:3113963-3114187|1642|g__Listeria.s__Listeria_innocua|UniRef90_Q4EE26|UniRef50_M1YD77,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus murinus,225,536,0.0.0.0,2382.222222222222
gi|224514740|ref|NZ_DS480694.1|:c452636-452373|208479|g__Clostridium.s__Clostridium_bolteae|UniRef90_A8RZB5|UniRef50_M1Y8K3,unclassified,264,520,0.0.0.0,1969.6969696969695
gi|211596893|ref|NZ_DS264347.1|:77319-77549|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5Z2Z6|UniRef50_M1YD77,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,231,345,0.0.0.0,1493.5064935064934
gi|211596893|ref|NZ_DS264347.1|:77319-77549|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5Z2Z6|UniRef50_M1YD77,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,231,305,0.0.0.0,1320.3463203463202
gi|211596808|ref|NZ_DS264262.1|:3292-3495|39496|g__Eubacterium.s__Eubacterium_ventriosum|UniRef90_A5Z326|UniRef50_A5Z326,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,204,244,0.0.0.0,1196.0784313725492
