taxa,uniref90,uniref50,length
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_N2AR07,UniRef50_D0TBT7,1119
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZUF0,UniRef50_J9FKH3,309
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z513,UniRef50_B3JM93,954
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_Q8A6A5,UniRef50_R5MRY4,1659
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R9HR76,UniRef50_F4L7M9,1683
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_unknown,UniRef50_unknown,1824
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z2T3,UniRef50_K5Z2T3,786
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZUN7,UniRef50_K5ZUN7,333
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZER9,UniRef50_R5DMK3,939
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZE20,UniRef50_K5ZE20,981
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YMF6,UniRef50_K5YMF6,651
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_D4VKI7,UniRef50_R6D207,1656
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZZR4,UniRef50_K5ZZR4,255
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z4U8,UniRef50_K5Z4U8,1020
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_S0GED1,UniRef50_S0GED1,1215
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZTC7,UniRef50_R5FZQ1,912
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_unknown,UniRef50_R6DIE8,2196
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z448,UniRef50_K5Z448,252
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_S0GEH3,UniRef50_S0GEH3,687
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_N2AX90,UniRef50_F9ZBJ5,753
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZRR4,UniRef50_K5ZRR4,192
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZZD3,UniRef50_K5ZZD3,708
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YR22,UniRef50_F9Z3N3,1971
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Y0V3,UniRef50_K5Y0V3,342
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_S0GJR3,UniRef50_S0GJR3,1227
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZBL9,UniRef50_K5ZBL9,228
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZHR5,UniRef50_R7NUX7,228
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZV55,UniRef50_B6YR52,192
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A989,UniRef50_D0TFB7,351
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6AQ27,UniRef50_K6AQ27,621
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A0A015UV72,UniRef50_A6L259,447
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z767,UniRef50_D2QFV1,1524
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZHA5,UniRef50_R5IA51,228
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YC97,UniRef50_A5FFY0,1032
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YJ49,UniRef50_B9YD37,807
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z4S9,UniRef50_K5Z4S9,897
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6WYD7,UniRef50_F5XC77,711
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZZ61,UniRef50_P74095,228
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DI39,UniRef50_I7A6J3,228
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6Y551,UniRef50_E4T1J2,510
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6X635,UniRef50_Q7VNU6,621
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_S0GEK8,UniRef50_S0GEK8,1320
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YRQ0,UniRef50_K5YRQ0,228
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YUJ5,UniRef50_K5YUJ5,225
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZGY8,UniRef50_R6IA59,726
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z6R6,UniRef50_R6IRS8,618
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YZD9,UniRef50_R5D8H3,351
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZUB7,UniRef50_R5I716,1521
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z4Z1,UniRef50_K5Z4Z1,615
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_N2B539,UniRef50_W1I5K8,792
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A960,UniRef50_K6A960,522
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6AN18,UniRef50_R5DNK7,225
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A5K7,UniRef50_A6LAT7,243
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZTV9,UniRef50_R7JCT0,228
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6Y2Z7,UniRef50_F4KLR9,1320
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZD86,UniRef50_R6X2L5,621
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZIF8,UniRef50_F3ZRX2,1320
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZX15,UniRef50_R6BCM8,243
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YC49,UniRef50_R6IA97,225
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z6T7,UniRef50_F2KV73,225
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LEJ1,UniRef50_A8LC56,618
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z760,UniRef50_R5DPD7,1482
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZHF1,UniRef50_R5IBV5,444
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZWY9,UniRef50_A6LC63,444
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZQ66,UniRef50_R6RUH5,1041
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6AX32,UniRef50_R6XGN7,1311
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6AYS3,UniRef50_A6L8B2,444
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Y4X5,UniRef50_K5Y4X5,1041
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_G8UHS2,UniRef50_B6YR21,237
