GeneID,Length
gi|490148212|ref|NZ_KB822402.1|:c209320-208148|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_K8F3U5|UniRef50_H8LBL6,1173
gi|490153054|ref|NZ_KB822411.1|:8820-9347|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZRW0|UniRef50_N1ZRW0,528
gi|490152031|ref|NZ_KB822407.1|:236719-237831|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZHT9|UniRef50_C7TGU3,1113
gi|490151422|ref|NZ_KB822406.1|:c79924-79106|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_S5N6A5|UniRef50_R9WIH9,819
gi|490152031|ref|NZ_KB822407.1|:c96754-96041|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZJK8|UniRef50_G2SNC5,714
gi|490151422|ref|NZ_KB822406.1|:239560-240522|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_W1I7T3|UniRef50_A0A037Y2N5,963
gi|490150767|ref|NZ_KB822405.1|:c65312-64848|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZMZ7|UniRef50_N1ZU92,465
gi|490152031|ref|NZ_KB822407.1|:143350-144627|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZI17|UniRef50_Q8G7X9,1278
gi|490150767|ref|NZ_KB822405.1|:c63514-63397|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZKX2|UniRef50_R4K2C2,118
gi|490152031|ref|NZ_KB822407.1|:c1569-883|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZPL9|UniRef50_C0MCG8,687
gi|490151422|ref|NZ_KB822406.1|:c42369-40642|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZTJ1|UniRef50_S5NCH1,1728
gi|490148212|ref|NZ_KB822402.1|:c303726-303516|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZJP7|UniRef50_C6VR07,211
gi|490152031|ref|NZ_KB822407.1|:142896-143198|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZW00|UniRef50_N1ZW00,303
gi|490152588|ref|NZ_KB822409.1|:87154-87948|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZUK9|UniRef50_R4NU86,795
gi|490150767|ref|NZ_KB822405.1|:c276784-276251|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZYA4|UniRef50_R6TF23,534
gi|490152031|ref|NZ_KB822407.1|:13426-13959|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZRC7|UniRef50_F8DR70,534
gi|490150767|ref|NZ_KB822405.1|:c237877-237335|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZYV5|UniRef50_Q1WUC9,543
gi|490152031|ref|NZ_KB822407.1|:202545-203078|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZVS2|UniRef50_E7FMC5,534
gi|490150767|ref|NZ_KB822405.1|:134512-135057|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZKV8|UniRef50_P68825,546
gi|490148212|ref|NZ_KB822402.1|:13130-13663|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N2A3F1|UniRef50_G2KW69,534
gi|490152338|ref|NZ_KB822408.1|:c7737-7207|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZQD6|UniRef50_R6SG25,531
gi|490148212|ref|NZ_KB822402.1|:c276166-275618|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZRT1|UniRef50_Q04EY0,549
gi|490152338|ref|NZ_KB822408.1|:c190942-190394|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZJR9|UniRef50_N1ZJR9,549
gi|490148212|ref|NZ_KB822402.1|:18683-19231|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZPL7|UniRef50_M5AE09,549
gi|490150767|ref|NZ_KB822405.1|:c147153-146611|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZUY2|UniRef50_G2SPT8,543
gi|490152031|ref|NZ_KB822407.1|:c29127-28585|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_Q1WSA2|UniRef50_A4SCS1,543
gi|490150767|ref|NZ_KB822405.1|:c194051-193506|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZTY0|UniRef50_R4PZ01,546
gi|490148212|ref|NZ_KB822402.1|:c261526-260990|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N2A2L4|UniRef50_N2A2L4,537
gi|490152031|ref|NZ_KB822407.1|:135999-136538|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZR93|UniRef50_N1ZR93,540
gi|490153054|ref|NZ_KB822411.1|:c14648-14109|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZF64|UniRef50_Q3Y1W6,540
gi|490148212|ref|NZ_KB822402.1|:c307018-306476|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZWY4|UniRef50_Q834K3,543
gi|490148212|ref|NZ_KB822402.1|:c235983-235447|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N2A2J4|UniRef50_N2A2J4,537
