GeneID	Lenght	#Reads	EC#	RPKM	Eukaryota	Archaea	Bacteria	Bacteroidetes	Actinobacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteria	Alphaproteobacteria	Firmicutes	Bacilli	Clostridia	Lachnospiraceae	Eubacteriaceae	Ruminococcaceae	Clostridiaceae	Oscillospiraceae	Other
gi|284047386|ref|NC_013740.1|:c1753819-1752638|905|g__Acidaminococcus.s__Acidaminococcus_fermentans|UniRef90_D2RLJ3|UniRef50_C7XRX0	1182	1	0.0.0.0	34.838728737575465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	592.2583885387829
gi|483974777|ref|NZ_AMRP01000522.1|:c2564-1545|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_F0Q4V9|UniRef50_E6WRK7	1020	1	0.0.0.0	40.371938595896275	0.0	0.0	0.0	40.371938595896275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|491170336|ref|NZ_KB849754.1|:33503-34879|106648|g__Acinetobacter.s__Acinetobacter_bereziniae|UniRef90_N9FBR6|UniRef50_N9FBR6	1377	2	0.0.0.0	59.81027940132781	0.0	0.0	0.0	0.0	0.0	0.0	59.81027940132781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|490961726|ref|NZ_KB849456.1|:1077610-1077948|106649|g__Acinetobacter.s__Acinetobacter_guillouiae|UniRef90_A0A023RY93|UniRef50_R5DZN3	339	1	5.2.1.8	121.47308958057286	0.0	0.0	0.0	0.0	0.0	0.0	121.47308958057286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|262374339|ref|NZ_GG705015.1|:98383-99744|40215|g__Acinetobacter.s__Acinetobacter_junii|UniRef90_D0SQQ4|UniRef50_R5BQF8	1362	1	0.0.0.0	30.234491459481788	0.0	0.0	0.0	0.0	0.0	0.0	30.234491459481788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|262377240|ref|NZ_GG705065.1|:c9186-7213|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_N9NXK7|UniRef50_I1XWU0	1974	1	0.0.0.0	20.860880125539108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	354.6349621341648
gi|491392098|ref|NZ_KB850140.1|:137859-138251|1144665|g__Acinetobacter.s__Acinetobacter_sp_CIP_102136|UniRef90_N9NVV4|UniRef50_F0KJD9	393	1	0.0.0.0	104.78213070690636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1781.2962220174081
gi|491379306|ref|NZ_KB850113.1|:c1886707-1886072|1217693|g__Acinetobacter.s__Acinetobacter_sp_NIPH_2171|UniRef90_unknown|UniRef50_A1U241	636	1	2.4.2.9	64.74744869153176	0.0	0.0	0.0	0.0	0.0	0.0	64.74744869153176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|357631984|ref|NZ_AFIE01000131.1|:c858-625|1029823|g__Acinetobacter.s__Acinetobacter_sp_P8_3_8|UniRef90_UPI0002487686|UniRef50_W6TYG1	234	1	0.0.0.0	175.98024516159913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2991.664167747185
gi|357631984|ref|NZ_AFIE01000131.1|:1-367|1029823|g__Acinetobacter.s__Acinetobacter_sp_P8_3_8|UniRef90_UPI0002487685|UniRef50_UPI0002487685	367	3	0.0.0.0	336.61616376959836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5722.474784083172
