GeneID,Length
gi|522837953|ref|NZ_KE159519.1|:c1634964-1633846|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2AR07|UniRef50_D0TBT7,1119
gi|522837947|ref|NZ_KE159513.1|:177266-177574|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZUF0|UniRef50_J9FKH3,309
gi|522837953|ref|NZ_KE159519.1|:c808188-807235|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z513|UniRef50_B3JM93,954
gi|522837955|ref|NZ_KE159521.1|:198085-199743|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_Q8A6A5|UniRef50_R5MRY4,1659
gi|522837956|ref|NZ_KE159522.1|:c321429-319747|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R9HR76|UniRef50_F4L7M9,1683
gi|522837957|ref|NZ_KE159523.1|:214666-216489|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_unknown|UniRef50_unknown,1824
gi|410101287|ref|NZ_JH976473.1|:c1574-789|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z2T3|UniRef50_K5Z2T3,786
gi|410101289|ref|NZ_JH976475.1|:476385-476717|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZUN7|UniRef50_K5ZUN7,333
gi|410101287|ref|NZ_JH976473.1|:746122-747060|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZER9|UniRef50_R5DMK3,939
gi|410101289|ref|NZ_JH976475.1|:3651-4631|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZE20|UniRef50_K5ZE20,981
gi|410101286|ref|NZ_JH976472.1|:5550-6200|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5YMF6|UniRef50_K5YMF6,651
gi|522837947|ref|NZ_KE159513.1|:2098147-2099802|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_D4VKI7|UniRef50_R6D207,1656
gi|410101292|ref|NZ_JH976478.1|:921-1175|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZZR4|UniRef50_K5ZZR4,255
gi|410101286|ref|NZ_JH976472.1|:742385-743404|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z4U8|UniRef50_K5Z4U8,1020
gi|410101285|ref|NZ_JH976471.1|:c112633-111419|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_S0GED1|UniRef50_S0GED1,1215
gi|410101292|ref|NZ_JH976478.1|:2826-3737|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZTC7|UniRef50_R5FZQ1,912
gi|410101285|ref|NZ_JH976471.1|:c111412-109217|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_unknown|UniRef50_R6DIE8,2196
gi|410101286|ref|NZ_JH976472.1|:c739033-738782|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z448|UniRef50_K5Z448,252
gi|410101285|ref|NZ_JH976471.1|:c113316-112630|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_S0GEH3|UniRef50_S0GEH3,687
gi|522837953|ref|NZ_KE159519.1|:1462843-1463595|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2AX90|UniRef50_F9ZBJ5,753
gi|410101292|ref|NZ_JH976478.1|:2071-2262|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZRR4|UniRef50_K5ZRR4,192
gi|410101286|ref|NZ_JH976472.1|:739898-740605|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZZD3|UniRef50_K5ZZD3,708
gi|410101286|ref|NZ_JH976472.1|:681353-683323|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5YR22|UniRef50_F9Z3N3,1971
gi|410101292|ref|NZ_JH976478.1|:c2600-2259|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Y0V3|UniRef50_K5Y0V3,342
gi|410101285|ref|NZ_JH976471.1|:c114551-113325|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_S0GJR3|UniRef50_S0GJR3,1227
gi|522837956|ref|NZ_KE159522.1|:263250-263477|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZBL9|UniRef50_K5ZBL9,228
gi|522837947|ref|NZ_KE159513.1|:c934361-934134|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZHR5|UniRef50_R7NUX7,228
gi|410101286|ref|NZ_JH976472.1|:c1166385-1166194|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZV55|UniRef50_B6YR52,192
gi|522837959|ref|NZ_KE159525.1|:104708-105058|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6A989|UniRef50_D0TFB7,351
gi|522837954|ref|NZ_KE159520.1|:123939-124559|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6AQ27|UniRef50_K6AQ27,621
gi|522837953|ref|NZ_KE159519.1|:713488-713934|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A0A015UV72|UniRef50_A6L259,447
gi|410101291|ref|NZ_JH976477.1|:c254084-252561|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z767|UniRef50_D2QFV1,1524
gi|522837953|ref|NZ_KE159519.1|:586494-586721|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZHA5|UniRef50_R5IA51,228
gi|522837947|ref|NZ_KE159513.1|:915872-916903|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5YC97|UniRef50_A5FFY0,1032
gi|410101287|ref|NZ_JH976473.1|:c849601-848795|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5YJ49|UniRef50_B9YD37,807
