GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|374087949|ref|NZ_JH599912.1|:1-1008|1054213|g__Acetobacteraceae_noname.s__Acetobacteraceae_bacterium_AT_5844|UniRef90_G9ZU40|UniRef50_G1XWW4,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,1008,1,0.0.0.0,0.9920634920634921
gi|423012810|ref|NZ_GL982453.1|:4695320-4696105|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_E3HNF5|UniRef50_E9F6S2,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Achromobacter,786,1,0.0.0.0,1.272264631043257
gi|422320874|ref|NZ_GL636046.1|:10103-10888|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_E3HNF5|UniRef50_E9F6S2,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Achromobacter,786,8,0.0.0.0,10.178117048346056
gi|422320505|ref|NZ_GL636042.1|:57513-60389|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_unknown|UniRef50_G2J491,root;k_Bacteria;p_Proteobacteria,2877,5,0.0.0.0,1.7379214459506431
gi|485452834|ref|NZ_AFPT01000080.1|:c38487-36148|80867|g__Acidovorax.s__Acidovorax_avenae|UniRef90_unknown|UniRef50_Q3JFC4,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae,2340,3,0.0.0.0,1.2820512820512822
gi|483976737|ref|NZ_AMRP01000982.1|:c1297-938|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_A1TLZ0|UniRef50_R5DZN3,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,360,1,5.2.1.8,2.7777777777777777
gi|483977801|ref|NZ_AMRP01001245.1|:1-976|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_F0Q2X8|UniRef50_T1XAV6,root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,976,1,0.0.0.0,1.0245901639344261
gi|241763827|ref|NZ_ACQT01000020.1|:c30837-29293|47920|g__Acidovorax.s__Acidovorax_delafieldii|UniRef90_C5T2K5|UniRef50_Q2P1U6,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Castellaniella;s_Castellaniella defragrans,1545,1,6.1.1.6,0.6472491909385114
gi|222109225|ref|NC_011992.1|:c2961166-2959085|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_unknown|UniRef50_A9BYJ6,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,2082,1,0.0.0.0,0.48030739673390976
gi|222109225|ref|NC_011992.1|:c704601-703435|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_A1W3W7|UniRef50_A1W3W7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,1167,3,0.0.0.0,2.570694087403599
gi|351000294|ref|NZ_AFBG01000023.1|:c210301-209966|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_K0IA16|UniRef50_F0Q5D3,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,336,13,0.0.0.0,38.69047619047619
