taxa,uniref90,uniref50,length
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_K8F3U5,UniRef50_H8LBL6,1173
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZRW0,UniRef50_N1ZRW0,528
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZHT9,UniRef50_C7TGU3,1113
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_S5N6A5,UniRef50_R9WIH9,819
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZJK8,UniRef50_G2SNC5,714
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_W1I7T3,UniRef50_A0A037Y2N5,963
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZMZ7,UniRef50_N1ZU92,465
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZI17,UniRef50_Q8G7X9,1278
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZKX2,UniRef50_R4K2C2,118
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPL9,UniRef50_C0MCG8,687
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZTJ1,UniRef50_S5NCH1,1728
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZJP7,UniRef50_C6VR07,211
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZW00,UniRef50_N1ZW00,303
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZUK9,UniRef50_R4NU86,795
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZYA4,UniRef50_R6TF23,534
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZRC7,UniRef50_F8DR70,534
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZYV5,UniRef50_Q1WUC9,543
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZVS2,UniRef50_E7FMC5,534
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZKV8,UniRef50_P68825,546
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N2A3F1,UniRef50_G2KW69,534
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZQD6,UniRef50_R6SG25,531
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZRT1,UniRef50_Q04EY0,549
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZJR9,UniRef50_N1ZJR9,549
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPL7,UniRef50_M5AE09,549
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZUY2,UniRef50_G2SPT8,543
