GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|411116154|ref|NZ_JH556657.1|:196093-197025|35830|g__Acetivibrio.s__Acetivibrio_cellulolyticus|UniRef90_K4L592|UniRef50_H6LFX7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,933,1,0.0.0.0,1.0718113612004287
gi|359799184|ref|NZ_AGUF01000060.1|:c31884-30217|1147684|g__Achromobacter.s__Achromobacter_arsenitoxydans|UniRef90_H0FAZ6|UniRef50_A1WJK8,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium,1668,1,0.0.0.0,0.5995203836930456
gi|352683411|ref|NC_016077.1|:305064-307112|187327|g__Acidaminococcus.s__Acidaminococcus_intestini|UniRef90_unknown|UniRef50_H0UKG1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2049,1,4.2.1.49,0.4880429477794046
gi|255020268|ref|NZ_ACVD01000058.1|:c30377-29805|33059|g__Acidithiobacillus.s__Acidithiobacillus_caldus|UniRef90_K4HZX4|UniRef50_B2AJU6,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_;s_Comamonadaceae bacterium B1,573,1,0.0.0.0,1.7452006980802794
gi|326314823|ref|NC_015138.1|:c2718667-2716637|80867|g__Acidovorax.s__Acidovorax_avenae|UniRef90_unknown|UniRef50_C4K9M3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas hydrophila,2031,6,0.0.0.0,2.954209748892171
gi|241764886|ref|NZ_ACQT01000063.1|:c17746-16931|47920|g__Acidovorax.s__Acidovorax_delafieldii|UniRef90_A1WID4|UniRef50_Q7DDS7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae,816,1,0.0.0.0,1.2254901960784315
gi|222109225|ref|NC_011992.1|:c2904529-2903945|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_A1WB86|UniRef50_E8TKG9,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,585,1,2.1.2.2,1.7094017094017095
gi|222109225|ref|NC_011992.1|:c1638685-1638503|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_B9MI82|UniRef50_Q5F9Z0,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,183,1,0.0.0.0,5.46448087431694
gi|351000294|ref|NZ_AFBG01000023.1|:121323-121811|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_UPI0002377FD6|UniRef50_H0BTU7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,489,12,0.0.0.0,24.539877300613497
gi|121592436|ref|NC_008782.1|:c3579620-3579036|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1WB86|UniRef50_E8TKG9,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,585,1,2.1.2.2,1.7094017094017095
gi|121592436|ref|NC_008782.1|:c2742807-2740510|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,2298,1,0.0.0.0,0.4351610095735422
gi|121592436|ref|NC_008782.1|:2981694-2982767|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1W9N3|UniRef50_A9BVF4,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,1074,1,0.0.0.0,0.9310986964618249
gi|407936729|ref|NC_018708.1|:c1283161-1282838|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0HVP2|UniRef50_K0HVP2,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,324,1,0.0.0.0,3.0864197530864197
gi|407936729|ref|NC_018708.1|:254076-257840|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0HVU3|UniRef50_K0HVU3,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,3765,1,0.0.0.0,0.2656042496679947
gi|505485091|ref|NZ_BANP01000121.1|:c2672-1359|1268622|g__Acidovorax.s__Acidovorax_sp_MR_S7|UniRef90_A1W4B9|UniRef50_Q1LIF4,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae,1314,7,1.2.1.70,5.32724505327245
gi|505485087|ref|NZ_BANP01000117.1|:c3121-221|1268622|g__Acidovorax.s__Acidovorax_sp_MR_S7|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria,2901,1,1.4.4.2,0.3447087211306446
gi|505485087|ref|NZ_BANP01000117.1|:c3121-221|1268622|g__Acidovorax.s__Acidovorax_sp_MR_S7|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Alicycliphilus;s_Alicycliphilus denitrificans,2901,1,1.4.4.2,0.3447087211306446
gi|489201740|ref|NZ_APAW01000141.1|:c8384-8103|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_M8EPJ5|UniRef50_M8EPJ5,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,282,2,0.0.0.0,7.092198581560284
gi|514971445|ref|NZ_KE340342.1|:300579-301580|756892|g__Acinetobacter.s__Acinetobacter_indicus|UniRef90_K9B483|UniRef50_E4RGX3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,1002,1,0.0.0.0,0.998003992015968
