GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|262409781|ref|NZ_GG705192.1|:689-976|469588|g__Bacteroides.s__Bacteroides_sp_2_1_22|UniRef90_A5ZLI2|UniRef50_A5ZLI2,root;k_Bacteria;p_Bacteroidetes;c_;o_;f_;g_;s_uncultured Bacteroidetes bacterium,288,17678,0.0.0.0,61381.94444444445
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root;k_Bacteria,462,15388,0.0.0.0,33307.35930735931
gi|550260673|ref|NZ_KI440779.1|:146983-147156|1099853|g__Coprobacter.s__Coprobacter_fastidiosus|UniRef90_U5CR87|UniRef50_U5CR87,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides,174,5163,0.0.0.0,29672.41379310345
gi|223954455|ref|NZ_DS981451.1|:c548-153|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,396,6319,0.0.0.0,15957.070707070707
gi|223667651|ref|NZ_DS264471.1|:3555-3719|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP8|UniRef50_A7AJP8,unclassified,165,1584,0.0.0.0,9600.0
gi|224580298|ref|NZ_DS996445.1|:61866-62144|387661|g__Parabacteroides.s__Parabacteroides_johnsonii|UniRef90_A7AAS6|UniRef50_A7AAS6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,279,1818,0.0.0.0,6516.1290322580635
gi|211596839|ref|NZ_DS264293.1|:c2400-2254|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYU6|UniRef50_A5ZYU6,unclassified,147,843,0.0.0.0,5734.693877551021
gi|265758149|ref|NZ_GG705247.1|:4095-4304|457391|g__Bacteroides.s__Bacteroides_sp_3_1_33FAA|UniRef90_D1KAJ3|UniRef50_D1KAJ3,unclassified,210,1146,0.0.0.0,5457.142857142858
gi|508605261|ref|NC_019425.2|:c265514-265170|2751|g__Carnobacterium.s__Carnobacterium_maltaromaticum|UniRef90_K8EE78|UniRef50_K8EE78,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus murinus,345,1801,0.0.0.0,5220.289855072464
gi|522837962|ref|NZ_KE159568.1|:1491619-1492092|1235790|g__Eubacterium.s__Eubacterium_sp_14_2|UniRef90_UPI0003B2F08F|UniRef50_R9J2S6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,474,1964,0.0.0.0,4143.459915611815
gi|357057344|ref|NZ_JH376880.1|:c103433-103218|1531|g__Clostridium.s__Clostridium_clostridioforme|UniRef90_G5I7J4|UniRef50_G5I7J4,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,216,845,0.0.0.0,3912.037037037037
gi|262384936|ref|NZ_GG705172.1|:15-245|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_W1I8G9|UniRef50_W1I8G9,root,231,623,0.0.0.0,2696.969696969697
