uniref,ec
UniRef90_Q8A525,6.3.5.2
UniRef90_K6A6W9,6.3.4.20
UniRef90_R6WQF7,6.3.4.2
UniRef90_K5YVH5,6.3.4.13
UniRef90_R5DLF8,6.3.2.1
UniRef90_R6WPT3,6.2.1.30
UniRef90_A6L8C6,6.1.1.6
UniRef90_K5ZGJ4,6.1.1.22
UniRef90_A6LA92,6.1.1.20
UniRef90_R7JAB6,6.1.1.14
UniRef90_A6LBU6,6.1.1.12
UniRef90_K5YVN0,6.1.1.1
UniRef90_C3QQ70,5.99.1.2
UniRef90_A6L8C4,5.3.1.9
UniRef90_K6AMN8,5.3.1.6
UniRef90_A6LA39,5.3.1.5
UniRef90_K6A6J9,5.3.1.12
UniRef90_A6LFF0,5.3.1.1
UniRef90_K6AYR2,5.2.1.8
UniRef90_K5YG13,5.2.1.8
UniRef90_K5YTK3,5.2.1.8
UniRef90_K5YXD3,5.2.1.8
UniRef90_K5ZGH3,5.1.3.3
UniRef90_K5YXW3,4.6.1.12
UniRef90_R5DBG0,4.3.2.2
UniRef90_A6LI32,4.3.1.3
UniRef90_K5Z0C0,4.2.3.4
UniRef90_K5YS20,4.2.1.8
UniRef90_R5DDE3,4.2.1.59
UniRef90_A6LD07,4.2.1.46
UniRef90_A6LDN0,4.2.1.33
UniRef90_R6WZJ2,4.2.1.11
UniRef90_K5ZBG1,4.2.1.1
UniRef90_Q5L7N5,4.1.1.49
UniRef90_A6LDS0,4.1.1.23
UniRef90_A6LC18,3.6.5.n1
UniRef90_K6A7D9,3.6.4.12
UniRef90_A6LA83,3.6.3.14
UniRef90_A6LHV2,3.5.99.6
UniRef90_K5Y229,3.5.1.25
UniRef90_R6IFD4,3.5.1.25
UniRef90_R6Y9M8,3.4.21.92
UniRef90_K5YU76,3.4.21.89
UniRef90_K5ZL12,3.4.11.4
UniRef90_R6WRT3,3.4.11.18
UniRef90_K5ZTG9,3.2.2.27
UniRef90_K5YU72,3.11.1.1
UniRef90_K5ZPX5,3.1.26.3
UniRef90_K5ZKY1,2.8.4.4
UniRef90_A6LEU6,2.7.8.13
UniRef90_R6WRV3,2.7.7.7
UniRef90_A6LEG5,2.7.7.6
UniRef90_D4VKI7,2.7.7.49
UniRef90_K6A705,2.7.7.2
UniRef90_K5ZDN0,2.7.4.8
UniRef90_K5Y825,2.7.4.6
UniRef90_R7JA49,2.7.4.22
UniRef90_S0GIT3,2.7.1.33
UniRef90_F5P142,2.7.1.30
UniRef90_K5Z865,2.7.1.148
UniRef90_K5ZP27,2.6.1.52
UniRef90_K6AL35,2.5.1.75
UniRef90_K5Z6Q1,2.5.1.74
UniRef90_A6LGA8,2.5.1.72
UniRef90_K6A6K8,2.5.1.19
UniRef90_A6LEL6,2.4.99.17
UniRef90_R6WZC4,2.4.2.10
UniRef90_K5ZD95,2.3.1.30
UniRef90_R7JA67,2.3.1.179
UniRef90_K6A045,2.3.1.129
UniRef90_A6LG93,2.2.1.2
UniRef90_A6L8T3,2.1.2.10
UniRef90_R6WRB5,2.1.1.33
UniRef90_K5Z1B0,2.1.1.193
UniRef90_K5ZZJ2,2.1.1.163
