GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|311103224|ref|NC_014640.1|:c683893-680963|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_unknown|UniRef50_R4WT31,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Achromobacter;s_Achromobacter xylosoxidans,2931,1,1.17.4.1,0.34118048447628796
gi|483974153|ref|NZ_AMRP01000370.1|:c3333-1191|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_unknown|UniRef50_V9B0C9,root;k_Bacteria,2143,1,0.0.0.0,0.46663555762949144
gi|120608714|ref|NC_008752.1|:5203465-5206542|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_unknown|UniRef50_Q8XS11,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Rhodocyclales;f_Azonexaceae;g_Dechloromonas;s_Dechloromonas aromatica,3078,4,0.0.0.0,1.2995451591942822
gi|483973223|ref|NZ_AMRP01000153.1|:4609-6130|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_A1TPW7|UniRef50_Q12DH9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,1522,1,6.3.5.7,0.657030223390276
gi|483975615|ref|NZ_AMRP01000725.1|:c1810-1|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_A1TW61|UniRef50_L0LR04,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Rhodocyclales;f_Azonexaceae;g_Dechloromonas;s_Dechloromonas aromatica,1810,4,0.0.0.0,2.2099447513812156
gi|241763866|ref|NZ_ACQT01000021.1|:14508-16244|47920|g__Acidovorax.s__Acidovorax_delafieldii|UniRef90_C5T2M1|UniRef50_B1Y6D0,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Stenotrophomonas acidaminiphila,1737,1,0.0.0.0,0.5757052389176741
gi|222109225|ref|NC_011992.1|:c1331393-1330908|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_B9MGR4|UniRef50_A1W964,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,486,1,0.0.0.0,2.05761316872428
gi|222109225|ref|NC_011992.1|:c3180303-3178855|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_A1WC10|UniRef50_F0Q7Y7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,1449,1,0.0.0.0,0.6901311249137336
gi|222109225|ref|NC_011992.1|:2538387-2539274|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_A1W9W3|UniRef50_Q2YB84,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,888,1,2.7.7.9,1.1261261261261262
gi|222109225|ref|NC_011992.1|:c2458703-2457495|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_E8TQ74|UniRef50_M4RZJ4,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,1209,1,0.0.0.0,0.8271298593879238
gi|351000294|ref|NZ_AFBG01000023.1|:c182327-181515|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_F6B1B1|UniRef50_F2JYP7,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Agrobacterium;s_Agrobacterium sp. RAC06,813,1,0.0.0.0,1.2300123001230012
gi|351000296|ref|NZ_AFBG01000025.1|:167646-169748|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_unknown|UniRef50_Q8XV10,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae,2103,1,0.0.0.0,0.475511174512601
gi|351000292|ref|NZ_AFBG01000021.1|:c646471-644600|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_unknown|UniRef50_W7WVX8,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. RAC01,1872,1,4.1.1.32,0.5341880341880342
gi|395008651|ref|NZ_AKJX01000189.1|:c1941-1574|1144317|g__Acidovorax.s__Acidovorax_sp_CF316|UniRef90_J0KGL4|UniRef50_J1EFU4,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,368,9,0.0.0.0,24.456521739130434
gi|121592436|ref|NC_008782.1|:c3361582-3360821|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1WAM5|UniRef50_C4ZJG6,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,762,1,0.0.0.0,1.3123359580052494
gi|121592436|ref|NC_008782.1|:c3889976-3888528|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1WC10|UniRef50_F0Q7Y7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,1449,1,0.0.0.0,0.6901311249137336
gi|121592436|ref|NC_008782.1|:c3889976-3888528|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1WC10|UniRef50_F0Q7Y7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,1449,1,0.0.0.0,0.6901311249137336
gi|407936729|ref|NC_018708.1|:c218921-217614|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0HTD9|UniRef50_R4XYL7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae,1308,1,0.0.0.0,0.764525993883792
gi|407936729|ref|NC_018708.1|:c1395956-1394652|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0I1C1|UniRef50_Q7VZ05,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,1305,5,6.1.1.2,3.831417624521073
