GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|505484991|ref|NZ_BANP01000021.1|:43192-44874|1268622|g__Acidovorax.s__Acidovorax_sp_MR_S7|UniRef90_B9MBD2|UniRef50_Q7W0K0,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Hydrogenophaga,1683,1,6.1.1.19,0.5941770647653001
gi|262378056|ref|NZ_GG705131.1|:1057707-1057898|40216|g__Acinetobacter.s__Acinetobacter_radioresistens|UniRef90_D0SHK2|UniRef50_C9LVX4,root;k_Bacteria,192,1,0.0.0.0,5.208333333333333
gi|545318369|ref|NZ_AWOO01000031.1|:c37186-35525|1993|g__Actinomadura.s__Actinomadura_madurae|UniRef90_D1A9X6|UniRef50_D7G5T9,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Pseudonocardiales;f_Pseudonocardiaceae;g_Allokutzneria;s_Allokutzneria albata,1662,1,0.0.0.0,0.601684717208183
gi|448879098|ref|NZ_KB375282.1|:19554-20477|56946|g__Afipia.s__Afipia_broomeae|UniRef90_K8PRF1|UniRef50_F0J372,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Xanthobacteraceae;g_Xanthobacter;s_Xanthobacter autotrophicus,924,1,0.0.0.0,1.0822510822510822
gi|551563861|ref|NZ_AVOG02000012.1|:238322-240973|1386079|g__Alcaligenes.s__Alcaligenes_sp_EGD_AK7|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria,2652,1,0.0.0.0,0.3770739064856712
gi|330822653|ref|NC_015422.1|:1874741-1875388|179636|g__Alicycliphilus.s__Alicycliphilus_denitrificans|UniRef90_A1W802|UniRef50_U3QU59,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Alicycliphilus;s_Alicycliphilus denitrificans,648,1,0.0.0.0,1.5432098765432098
gi|485047286|ref|NZ_ALEE01000241.1|:c3377-2196|1200791|g__Alicycliphilus.s__Alicycliphilus_sp_CRZ1|UniRef90_unknown|UniRef50_UPI0003C12C7F,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,1182,1,0.0.0.0,0.8460236886632826
gi|258612386|ref|NZ_GG700643.1|:413281-419121|76122|g__Alloprevotella.s__Alloprevotella_tannerae|UniRef90_unknown|UniRef50_unknown,root,5841,1,0.0.0.0,0.1712035610340695
gi|224021138|ref|NZ_DS499725.1|:c3194-2895|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK1|UniRef50_B0MGK1,root,300,2,0.0.0.0,6.666666666666667
gi|224021139|ref|NZ_DS499726.1|:5536-5781|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MC26|UniRef50_A6BKX9,root;k_Bacteria,246,2,0.0.0.0,8.130081300813009
gi|224021139|ref|NZ_DS499726.1|:5536-5781|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MC26|UniRef50_A6BKX9,root;k_Bacteria;p_Bacteroidetes,246,1,0.0.0.0,4.065040650406504
gi|224021139|ref|NZ_DS499726.1|:5536-5781|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MC26|UniRef50_A6BKX9,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,246,1,0.0.0.0,4.065040650406504
gi|224021136|ref|NZ_DS499723.1|:414-563|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_unknown|UniRef50_A8STH6,root,150,1,0.0.0.0,6.666666666666667
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,393,1,0.0.0.0,2.544529262086514
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae,393,1,0.0.0.0,2.544529262086514
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,393,1,0.0.0.0,2.544529262086514
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria,393,1,0.0.0.0,2.544529262086514
gi|224021136|ref|NZ_DS499723.1|:31-405|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGJ9|UniRef50_C4FHJ6,root,375,10,0.0.0.0,26.666666666666668
gi|224021136|ref|NZ_DS499723.1|:31-405|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGJ9|UniRef50_C4FHJ6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,375,3,0.0.0.0,8.0
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root,403,3,0.0.0.0,7.444168734491314
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,403,6,0.0.0.0,14.888337468982629
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root;k_;p_;c_;o_;f_;g_;s_uncultured organism,403,1,0.0.0.0,2.4813895781637716
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales,403,2,0.0.0.0,4.962779156327543
gi|224021138|ref|NZ_DS499725.1|:3068-3425|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI56|UniRef50_B0MGK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae,358,1,0.0.0.0,2.793296089385475
gi|224021160|ref|NZ_DS544169.1|:2022-2339|169435|g__Anaerotruncus.s__Anaerotruncus_colihominis|UniRef90_UPI00015E6A9A|UniRef50_F5XS62,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,318,2,0.0.0.0,6.289308176100628
gi|224021160|ref|NZ_DS544169.1|:2022-2339|169435|g__Anaerotruncus.s__Anaerotruncus_colihominis|UniRef90_UPI00015E6A9A|UniRef50_F5XS62,root,318,1,0.0.0.0,3.144654088050314
gi|452701434|ref|NZ_AGQP01000039.1|:59210-59525|1392|g__Bacillus.s__Bacillus_anthracis|UniRef90_K8EDZ7|UniRef50_F5XS62,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,316,3,0.0.0.0,9.493670886075948
gi|423680240|ref|NZ_JH636050.1|:c200123-199659|1402|g__Bacillus.s__Bacillus_licheniformis|UniRef90_I0UMX8|UniRef50_I0UMX8,root,465,1,0.0.0.0,2.150537634408602
gi|319655125|ref|NZ_GL635750.1|:1020462-1020774|665959|g__Bacillus.s__Bacillus_sp_2_A_57_CT2|UniRef90_K8EDZ7|UniRef50_F5XS62,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,313,5,0.0.0.0,15.97444089456869
gi|483722481|ref|NZ_KB889752.1|:3539492-3539731|1132442|g__Bacillus.s__Bacillus_sp_37MA|UniRef90_UPI0003671735|UniRef50_UPI0003671735,root;k_Bacteria,240,1,0.0.0.0,4.166666666666667
gi|365164276|ref|NZ_JH414733.1|:c596-165|665957|g__Bacillus.s__Bacillus_sp_7_6_55CFAA_CT2|UniRef90_B9IYH4|UniRef50_C2SUD2,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus,432,1,0.0.0.0,2.314814814814815
