GeneID,Taxonomy,Length,Reads,EC#
gi|422320815|ref|NZ_GL636045.1|:c59016-58090|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_E3HPD5|UniRef50_A7K0S1,root;k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio;s_Desulfovibrio vulgaris,927,1,0.0.0.0
gi|483973879|ref|NZ_AMRP01000306.1|:c3776-3381|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Tenericutes;c_Mollicutes;o_Acholeplasmatales;f_Acholeplasmataceae;g_Candidatus Phytoplasma,396,1,0.0.0.0
gi|483974777|ref|NZ_AMRP01000522.1|:c2564-1545|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_F0Q4V9|UniRef50_E6WRK7,root;k_Bacteria,1020,1,0.0.0.0
gi|351000290|ref|NZ_AFBG01000019.1|:20374-20946|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_UPI0002376657|UniRef50_B1Y804,root;k_Bacteria;p_Proteobacteria,573,1,0.0.0.0
gi|395010419|ref|NZ_AKJX01000276.1|:25448-28426|1144317|g__Acidovorax.s__Acidovorax_sp_CF316|UniRef90_unknown|UniRef50_K2DZR4,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Ralstonia,2979,1,0.0.0.0
gi|121592436|ref|NC_008782.1|:c3728619-3726985|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A9BSV8|UniRef50_A1TT20,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae,1635,1,1.9.3.1
gi|121592436|ref|NC_008782.1|:c3992532-3990928|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1WC97|UniRef50_Q9HCC0,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,1605,1,6.4.1.4
gi|121592436|ref|NC_008782.1|:4344708-4345685|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1WD52|UniRef50_D0IXC9,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Delftia;s_Delftia sp. Cs1-4,978,1,0.0.0.0
gi|333070326|ref|NZ_GL891817.1|:480-608|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_F5IGB6|UniRef50_F9RN42,root,129,1,0.0.0.0
gi|223667765|ref|NZ_DS264585.1|:1771-2040|1660|g__Actinomyces.s__Actinomyces_odontolyticus|UniRef90_A7B8Q3|UniRef50_Q57L44,root;k_Bacteria,270,1,0.0.0.0
gi|223667765|ref|NZ_DS264585.1|:1771-2040|1660|g__Actinomyces.s__Actinomyces_odontolyticus|UniRef90_A7B8Q3|UniRef50_Q57L44,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,270,1,0.0.0.0
gi|405980662|ref|NZ_JH815211.1|:c480-202|131111|g__Actinomyces.s__Actinomyces_turicensis|UniRef90_K0YNP1|UniRef50_K0YNP1,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Propionibacteriales;f_Propionibacteriaceae;g_Propionibacterium;s_Propionibacterium sp. oral taxon 193,279,1,0.0.0.0
gi|421495488|ref|NZ_ALJZ02000023.1|:1979-5131|651|g__Aeromonas.s__Aeromonas_media|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Ralstonia;s_Ralstonia solanacearum,3153,1,2.7.13.3
gi|448879101|ref|NZ_KB375285.1|:100129-101475|56946|g__Afipia.s__Afipia_broomeae|UniRef90_W3RQN6|UniRef50_Q981R9,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Oligotropha;s_Oligotropha carboxidovorans,1347,3,0.0.0.0
gi|224021130|ref|NZ_DS499580.1|:c156620-155514|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_Q64WI5|UniRef50_Q64WI5,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides caecimuris,1107,1,0.0.0.0
